"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-RYDAVENUE/51282 REFUND","Cash","2026-03-24","AlQurashi-KSA","72016","55008","-399.0","SAR","CashRYDAVENUE","2026-03-24"
"Cash-BLKU-0004783","Cash","2026-03-05","AlQurashi-KSA","88015","74004","883.0","SAR","Cash SMARTSHRYD","2026-03-05"
"Cash-BLKU-0004784","Cash","2026-03-06","AlQurashi-KSA","88015","74004","2062.0","SAR","Cash SMARTSHRYD","2026-03-06"
"Cash-BLKU-0004785","Cash","2026-03-07","AlQurashi-KSA","88015","74004","902.0","SAR","Cash SMARTSHRYD","2026-03-07"
"Cash-BLKU-0004786","Cash","2026-03-08","AlQurashi-KSA","88015","74004","2117.0","SAR","Cash SMARTSHRYD","2026-03-08"
"Cash-BLKU-0004787","Cash","2026-03-09","AlQurashi-KSA","88015","74004","877.0","SAR","Cash SMARTSHRYD","2026-03-09"
"Cash-BLKU-0004788","Cash","2026-03-10","AlQurashi-KSA","88015","74004","1271.0","SAR","Cash SMARTSHRYD","2026-03-10"
"Cash-BLKU-0004789","Cash","2026-03-11","AlQurashi-KSA","88015","74004","1632.0","SAR","Cash SMARTSHRYD","2026-03-11"
"Cash-BLKU-0004790","Cash","2026-03-12","AlQurashi-KSA","88015","74004","15816.0","SAR","Cash SMARTSHRYD","2026-03-12"
"Cash-BLKU-0004791","Cash","2026-03-13","AlQurashi-KSA","88015","74004","2138.0","SAR","Cash SMARTSHRYD","2026-03-13"
"Cash-BLKU-0004792","Cash","2026-03-14","AlQurashi-KSA","88015","74004","1333.0","SAR","Cash SMARTSHRYD","2026-03-14"
"Cash-BLKU-0004793","Cash","2026-03-15","AlQurashi-KSA","88015","74004","2977.0","SAR","Cash SMARTSHRYD","2026-03-15"
"Cash-BLKU-0004794","Cash","2026-03-16","AlQurashi-KSA","88015","74004","2568.0","SAR","Cash SMARTSHRYD","2026-03-16"
"Cash-BLKU-0004795","Cash","2026-03-17","AlQurashi-KSA","88015","74004","5827.0","SAR","Cash SMARTSHRYD","2026-03-17"
"Cash-BLKU-0004796","Cash","2026-03-18","AlQurashi-KSA","88015","74004","1809.0","SAR","Cash SMARTSHRYD","2026-03-18"
"Cash-BLKU-0004797","Cash","2026-03-19","AlQurashi-KSA","88015","74004","6442.0","SAR","Cash SMARTSHRYD","2026-03-19"
"Cash-BLKU-0004798","Cash","2026-03-20","AlQurashi-KSA","88015","74004","828.0","SAR","Cash SMARTSHRYD","2026-03-20"
"Cash-BLKU-0004799","Cash","2026-03-21","AlQurashi-KSA","88015","74004","738.0","SAR","Cash SMARTSHRYD","2026-03-21"
"Cash-BLKU-0004800","Cash","2026-03-22","AlQurashi-KSA","88015","74004","939.0","SAR","Cash SMARTSHRYD","2026-03-22"
"Cash-BLKU-0004801","Cash","2026-03-23","AlQurashi-KSA","88015","74004","1142.0","SAR","Cash SMARTSHRYD","2026-03-23"
"Cash-BLKU-0004803","Cash","2026-03-24","AlQurashi-KSA","88015","74004","1397.0","SAR","Cash SMARTSHRYD","2026-03-24"
"Cash-BLKU-0004804","Cash","2026-03-25","AlQurashi-KSA","88015","74004","925.0","SAR","Cash SMARTSHRYD","2026-03-25"
"Cash-BLKU-0004805","Cash","2026-03-26","AlQurashi-KSA","88015","74004","100.0","SAR","Cash SMARTSHRYD","2026-03-26"
"Cash-BLKU-0004806","Cash","2026-03-27","AlQurashi-KSA","88015","74004","398.0","SAR","Cash SMARTSHRYD","2026-03-27"
"Cash-BLKU-0004807","Cash","2026-03-28","AlQurashi-KSA","88015","74004","898.0","SAR","Cash SMARTSHRYD","2026-03-28"
"Cash-BLKU-0004808","Cash","2026-03-29","AlQurashi-KSA","88015","74004","1315.0","SAR","Cash SMARTSHRYD","2026-03-29"
"Cash-BLKU-0004809","Cash","2026-03-30","AlQurashi-KSA","88015","74004","1594.0","SAR","Cash SMARTSHRYD","2026-03-30"
